ciclo,deflactor_pib_2020_100,estimado
1993,10.892961689,0
1994,11.800318448,0
1995,16.399668042,0
1996,20.742519704,0
1997,24.415096368,0
1998,28.278682998,0
1999,32.606807608,0
2000,36.105393739,0
2001,38.446698348,0
2002,40.546059614,0
2003,42.294352238,0
2004,45.718278748,0
2005,48.407740256,0
2006,51.366674511,0
2007,54.513333885,0
2008,57.958110455,0
2009,60.988401816,0
2010,63.661702359,0
2011,67.252814929,0
2012,70.335124757,0
2013,71.535491995,0
2014,74.652352970,0
2015,77.056154163,0
2016,81.720716901,0
2017,87.113807145,0
2018,91.643434162,0
2019,95.612049638,0
2020,100.000000000,0
2021,104.507486428,0
2022,111.460015795,0
2023,116.653616175,0
2024,122.374573184,0
2025,127.759054404,1
2026,132.869416580,1
