"","yr","nombre","beneficiario","monto","rank"
"1",2023,"LOTENAL","Televisa",37981953.0698203,25
"2",2023,"LOTENAL","Grupo Fórmula",35428500.2220547,24
"3",2023,"LOTENAL","La Jornada",32735614.9022645,23
"4",2023,"LOTENAL","La B Grande",30358574.4875322,22
"5",2023,"ISSSTE","Televisa",23464939.29566,21
"6",2023,"ISSSTE","La Jornada",20400444.647577,20
"7",2023,"LOTENAL","TV Azteca",16449090.0911987,19
"8",2023,"IMSS","La Jornada",13573760.656185,18
"9",2023,"FONACOT","Medios Masivos Mexicanos",13299860.875617,17
"10",2023,"FONACOT","Televisa",12238946.8274137,16
"11",2023,"ISSSTE","Medios Masivos Mexicanos",12051009.6533894,15
"12",2023,"FONACOT","TV Azteca",11276712.2761338,14
"13",2023,"FONACOT","La Jornada",10128783.5530754,13
"14",2023,"LOTENAL","MM Online",9283406.05267276,12
"15",2023,"ISSSTE","TV Azteca",8820482.38088849,11
"16",2023,"ISSSTE","Milenio",8587635.42961938,10
"17",2023,"FONACOT","Grupo Fórmula",8044717.39353379,9
"18",2023,"IMSS","Medios Masivos Mexicanos",7831199.80772656,8
"19",2023,"FONACOT","Org. Editorial Acuario",7723049.2313301,7
"20",2023,"LOTENAL","Multimedios",7174036.89184959,6
"21",2023,"LOTENAL","Stereorey",7002910.23206075,5
"22",2023,"SHCP","La Jornada",6752422.79714708,4
"23",2023,"SHCP","TV Azteca",6541473.52479284,3
"24",2023,"IMSS","Org. Editorial Acuario",6502809.72947727,2
"25",2023,"ISSSTE","Grupo Fórmula",6499302.79852982,1
