"","yr","beneficiario","monto"
"1","2012","TV Azteca  / Estudios Chrubusco",2215747714.21786
"2","2012","Televisa",1726940548.0973
"3","2012","MEDIA PLANNING GROUP",649720136.934825
"4","2012","Imagen",502441240.558134
"5","2012","Grupo Fórmula / PM Onstreet",381207287.050618
"6","2012","RADIO Y TELEVISION DE HIDALGO.",302636654.11361
"7","2012","Milenio",217471822.903295
"8","2012","MAKE PRO",215540280.768787
"9","2012","ISA Corporativo",179767854.223347
"10","2012","RADIORAMA",162948129.07209
"11","2012","BUILDING AND SERVICES",160256162.52595
"12","2012","NRM COMUNICACIONES / PROMOTORA DE RADIO/NUCLEO RADIO MIL",135713174.845439
"13","2012","GRC COMUNICACIONES",122622568.357522
"14","2012","MEDIA CONTACTS",112376950.028884
"15","2012","LEISURE OPPORTUNITIES LLC (PROMOTUR )",107177045.993714
"16","2012","SOCIEDAD MEXICANA DE LA RADIO",100013104.104268
"17","2012","MEDIOS MASIVOS MEXICANOS  (VARIOS PERIODICOS)",99732578.0590063
"18","2012","El Universal",97700012.2180211
"19","2012","MULTIMEDIOS",95332159.0534184
"20","2012","5M2",87937093.1561661
"21","2013","Televisa",1352430864.82991
"22","2013","TV Azteca  / Estudios Chrubusco",1339386995.09853
"23","2013","STARCOM  WORLDWIDE, INC. (PROMOTUR)  (NEW YORK, EUA)",455260598.858644
"24","2013","MEDIA PLANNING GROUP",271498817.778528
"25","2013","STARCOM WORLDWIDE",248281479.724295
"26","2013","Grupo Fórmula / PM Onstreet",204516133.942229
"27","2013","OLABUENAGA CHEMISTRI",200995569.356834
"28","2013","Imagen",163531961.645119
"29","2013","MEDIA CONTACTS",127643643.82836
"30","2013","RADIORAMA",89483827.0624982
"31","2013","MSL PUBLIC RELATIONS, INC (NUEVA YORK, EUA)  (PROMOTUR)",86594715.5879912
"32","2013","Milenio",82382213.1138956
"33","2013","El Universal",78685508.0063989
"34","2013","La Jornada",71873136.7331844
"35","2013","Reforma / El Norte",71755019.8021857
"36","2013","MEDIOS MASIVOS MEXICANOS  (VARIOS PERIODICOS)",70366040.656248
"37","2013","GRC COMUNICACIONES",69854623.0769493
"38","2013","NRM COMUNICACIONES / PROMOTORA DE RADIO/NUCLEO RADIO MIL",69100962.5618603
"39","2013","OGILVY PUBLIC RELATIONS WORLDWIDE, INC (NUEVA YORK)",63864869.3395885
"40","2013","SOCIEDAD MEXICANA DE RADIO",57956606.4008542
"41","2014","Televisa",1107842400.34521
"42","2014","TV Azteca  / Estudios Chrubusco",1101243271.44195
"43","2014","OEM",337216231.987688
"44","2014","Imagen",249247443.409107
"45","2014","Grupo Fórmula / PM Onstreet",243443587.428368
"46","2014","El Universal",238421866.619298
"47","2014","STARCOM  WORLDWIDE, INC. (PROMOTUR)  (NEW YORK, EUA)",206372078.83735
"48","2014","MEDIOS MASIVOS MEXICANOS  (VARIOS PERIODICOS)",138712100.62636
"49","2014","Milenio",130895102.215724
"50","2014","GRC COMUNICACIONES",122280751.335866
"51","2014","MSL GROUP AMERICAS, INC  (PROMOTUR)",120656478.495424
"52","2014","NRM COMUNICACIONES / PROMOTORA DE RADIO/NUCLEO RADIO MIL",109830994.632919
"53","2014","RADIORAMA",103504308.124976
"54","2014","La Jornada",95021085.9236909
"55","2014","Reforma / El Norte",91214520.8388644
"56","2014","MEGA DIRECT",72965701.4718141
"57","2014","RACK STAR",71404009.099843
"58","2014","STARCOM WORLDWIDE",69585879.5281373
"59","2014","5M2",69438458.5403756
"60","2014","TEAM MEDIA, S.A. (BUENOS AIRES) (PROMOTUR)",66311231.5048671
"61","2015","Televisa",2558771274.85319
"62","2015","TV Azteca  / Estudios Chrubusco",1551400885.52336
"63","2015","Grupo Fórmula / PM Onstreet",518603338.346464
"64","2015","El Universal",473644215.865969
"65","2015","Imagen",373382748.64454
"66","2015","OEM",353795692.837618
"67","2015","PERIÓDICO EXCELSIOR",337545218.90079
"68","2015","STARCOM  WORLDWIDE, INC. (PROMOTUR)  (NEW YORK, EUA)",286290570.819613
"69","2015","Milenio",251142329.149887
"70","2015","GRC COMUNICACIONES",227732780.492448
"71","2015","SISTEMA PÚBLICO DE RADIODIFUSIÓN DE L ESTADO MEXICANO (ANTES, OPMA)",218988812.998252
"72","2015","NRM COMUNICACIONES / PROMOTORA DE RADIO/NUCLEO RADIO MIL",190946768.472989
"73","2015","MEDIOS MASIVOS MEXICANOS  (VARIOS PERIODICOS)",167498749.961134
"74","2015","CORPORACIÓN DE MEDIOS INTEGRALES",163693004.937815
"75","2015","RADIORAMA",158279224.679227
"76","2015","MAC EDICIONES Y PUBLICACIONES (PERIODICO-REVISTA)",147732519.982942
"77","2015","5M2",137322162.419054
"78","2015","OLABUENAGA CHEMISTRI",124816590.212189
"79","2015","EL SOL DE MEXICO CIA. PERIODISTICA",108086119.742118
"80","2015","La Jornada",105120408.583185
"81","2016","Televisa",2052400975.66174
"82","2016","TV Azteca  / Estudios Chrubusco",1464518595.74247
"83","2016","STARCOM  WORLDWIDE, INC. (PROMOTUR)  (NEW YORK, EUA)",416991229.620829
"84","2016","Grupo Fórmula / PM Onstreet",403764443.565718
"85","2016","PERIÓDICO EXCELSIOR",375158218.194224
"86","2016","Imagen",347364452.941574
"87","2016","El Universal",285779489.468699
"88","2016","SISTEMA PÚBLICO DE RADIODIFUSIÓN DE L ESTADO MEXICANO (ANTES, OPMA)",274618474.400843
"89","2016","STARCOM WORLDWIDE",257547840.714639
"90","2016","Milenio",218797121.078005
"91","2016","MEDIOS MASIVOS MEXICANOS  (VARIOS PERIODICOS)",171075306.165131
"92","2016","GRC COMUNICACIONES",170536034.998074
"93","2016","OEM",159619898.727668
"94","2016","RACK STAR",147831816.965239
"95","2016","NRM COMUNICACIONES / PROMOTORA DE RADIO/NUCLEO RADIO MIL",138669466.808771
"96","2016","5M2",122502529.47409
"97","2016","RADIORAMA",114760219.544319
"98","2016","La Jornada",105823272.782318
"99","2016","COMERCIALIZADORA IMU",100599919.413198
"100","2016","CORPORACIÓN DE MEDIOS INTEGRALES",98813310.5253381
"101","2017","Televisa",1775697754.79931
"102","2017","TV Azteca  / Estudios Chrubusco",1317466925.85083
"103","2017","STARCOM WORLDWIDE",665318257.919062
"104","2017","Imagen",659426746.812635
"105","2017","PERIÓDICO EXCELSIOR",399752934.270422
"106","2017","SISTEMA PÚBLICO DE RADIODIFUSIÓN DE L ESTADO MEXICANO (ANTES, OPMA)",333481645.318458
"107","2017","Grupo Fórmula / PM Onstreet",297681759.985042
"108","2017","STARCOM  WORLDWIDE, INC. (PROMOTUR)  (NEW YORK, EUA)",288075010.680276
"109","2017","El Universal",217848926.271547
"110","2017","OEM",172950467.925667
"111","2017","OPERADORA MEXICANA DE TELEVISION, S .A. DE C.V. (CANAL 40)",165704045.504213
"112","2017","RACK STAR",140487969.738825
"113","2017","Milenio",134859682.672947
"114","2017","5M2",133789686.318032
"115","2017","NRM COMUNICACIONES / PROMOTORA DE RADIO/NUCLEO RADIO MIL",128872631.667668
"116","2017","La Jornada",123773867.189774
"117","2017","CONGLOMERADO DE MEDIOS INTERNACIONA LES",113347798.030621
"118","2017","COMERCIALIZADORA IMU",109524010.760076
"119","2017","RADIORAMA",107988880.936278
"120","2017","Grupo Radio Centro y Subsidiarias",107492817.749731
"121","2018","Televisa",2254571786.78275
"122","2018","TV Azteca  / Estudios Chrubusco",1587021819.00643
"123","2018","Imagen",1050388377.49267
"124","2018","Grupo Fórmula / PM Onstreet",517923062.485439
"125","2018","El Universal",451867315.258997
"126","2018","OEM",217908550.741427
"127","2018","NRM COMUNICACIONES / PROMOTORA DE RADIO/NUCLEO RADIO MIL",187463486.002705
"128","2018","Stereorey",175554423.133715
"129","2018","SISTEMA PÚBLICO DE RADIODIFUSIÓN DE L ESTADO MEXICANO (ANTES, OPMA)",173093793.400948
"130","2018","Milenio",167087985.088622
"131","2018","RACK STAR",164499142.351942
"132","2018","COMERCIALIZADORA IMU",164093444.226326
